year,re_total_gw,pv_gw,wind_gw,nev_10k_units,storage_mw,events
2014,2.8,0.9,1.2,1.2,15.0,广东启动海上风电试点
2015,3.5,1.4,1.5,3.5,32.0,港澳加入大湾区绿色能源合作
2016,4.6,2.1,1.8,8.1,67.0,深圳推广电动公交
2017,6.2,3.0,2.5,15.3,135.0,珠海金湾海上风电场投运
2018,8.4,4.7,3.1,24.7,290.0,广东光伏补贴退坡
2019,11.5,6.5,4.0,38.6,520.0,惠州埃克森美孚储能项目落地
2020,16.3,9.2,5.8,61.2,850.0,大湾区绿色金融联盟成立
2021,23.1,13.8,7.5,98.3,1520.0,广州南沙氢能产业园启动
2021,,,,,,
2022,31.6,19.6,9.4,148.5,2850.0,香港公布《气候行动蓝图2050》
2023,42.3,26.2,12.7,210.6,4120.0,深圳成全球电动出租车第一城
20230,,,,,,
20234,,,,,,
20233000,,,,,,
302023150,,,,,,
402023210,,,,,,
2023201428,,,,,,
20181002025,,,,,,
