year,emission_gba
1997,38.17297110449112
1998,38.82495087571018
1999,40.612324486631756
2000,109.99218250776923
2001,124.14246429865204
2002,135.1009369125426
2003,151.87570700841457
2004,117.75552276046753
2005,180.49178753413716
2006,184.22756307587397
2007,198.6831805051158
2008,238.27213291320658
2009,231.60947357179262
2010,255.39661733046285
2011,275.07976984480337
2012,270.9155726975874
2013,271.59836042912235
2014,362.41964275874045
2015,355.2417967594453
2016,375.40691324547896
2017,179.55781439549534
2018,369.5969322661374
2019,367.7089225200931
