year,emission_guangdong
1997,155.34636212
1998,146.81938846
1999,157.78815570000003
2000,182.1402045
2001,185.46056025333328
2002,198.48783326666666
2003,225.58294952666668
2004,251.31810843333335
2005,272.16552162
2006,310.2787414533333
2007,327.4452751533334
2008,356.9393948333333
2009,394.88333888000005
2010,445.05936574
2011,501.36157366
2012,486.6959933666667
2013,493.0877252666667
2014,500.64849354666666
2015,497.9458497400001
2016,506.86261150000007
2017,533.1979271466668
2018,557.27838396
2019,552.2894168611658
2020,575.1479738750602
2021,669.6167718132929
