口径,类型,变量,Pearson,Spearman,样本数
九市,水平(对数),pv_gw,-0.08979068771853847,0.2571428571428572,6
九市,水平(对数),wind_gw,-0.1307230726576411,0.2571428571428572,6
九市,水平(对数),nev_10k_units,-0.17179528150710252,0.2571428571428572,6
九市,水平(对数),storage_mw,-0.10425165400250526,0.2571428571428572,6
九市,一阶差分(对数),pv_gw,0.6014016890216283,0.49999999999999994,5
九市,一阶差分(对数),wind_gw,-0.7522431978327073,-0.7999999999999999,5
九市,一阶差分(对数),nev_10k_units,-0.2047496226348556,-0.3,5
九市,一阶差分(对数),storage_mw,0.31042889533512213,0.49999999999999994,5
九市,去趋势(残差),pv_gw,0.25505984435718027,-0.028571428571428574,6
九市,去趋势(残差),wind_gw,-0.45752773092352056,-0.48571428571428577,6
九市,去趋势(残差),nev_10k_units,-0.4212791739208634,-0.3714285714285715,6
九市,去趋势(残差),storage_mw,-0.11722478348378322,-0.08571428571428573,6
