口径,变量,滞后L,相关系数,样本数
九市,pv_gw,-2,-0.7171536939825394,4
九市,pv_gw,-1,-0.35708616431928314,5
九市,pv_gw,0,-0.08979068771853847,6
九市,pv_gw,1,0.011555590160263803,5
九市,pv_gw,2,0.20931169273497918,4
九市,wind_gw,-2,-0.7263533203243306,4
九市,wind_gw,-1,-0.30783522311818085,5
九市,wind_gw,0,-0.13072307265764108,6
九市,wind_gw,1,0.10849843562280582,5
九市,wind_gw,2,0.22950317853060312,4
九市,nev_10k_units,-2,-0.7044199353336389,4
九市,nev_10k_units,-1,-0.33223573080188085,5
九市,nev_10k_units,0,-0.17179528150710252,6
九市,nev_10k_units,1,-0.060313429791379165,5
九市,nev_10k_units,2,0.16430306864517,4
九市,storage_mw,-2,-0.7131437655316598,4
九市,storage_mw,-1,-0.3521493562595479,5
九市,storage_mw,0,-0.10425165400250526,6
九市,storage_mw,1,0.01996100974796112,5
九市,storage_mw,2,0.22666239108848737,4
