口径,变量,滞后L,相关系数,样本数
广东,pv_gw,-2,0.9252492836903048,6
广东,pv_gw,-1,0.9599854011384452,7
广东,pv_gw,0,0.9073352110454834,8
广东,pv_gw,1,0.9394917921465465,8
广东,pv_gw,2,0.9342544094949251,7
广东,wind_gw,-2,0.935316572802626,6
广东,wind_gw,-1,0.9521921351727171,7
广东,wind_gw,0,0.9252872644501337,8
广东,wind_gw,1,0.9648265474062583,8
广东,wind_gw,2,0.9374580124912003,7
广东,nev_10k_units,-2,0.9180241499110188,6
广东,nev_10k_units,-1,0.9336704205380781,7
广东,nev_10k_units,0,0.858954321127134,8
广东,nev_10k_units,1,0.9112159775086018,8
广东,nev_10k_units,2,0.9003589211447494,7
广东,storage_mw,-2,0.9188688104046284,6
广东,storage_mw,-1,0.957392579237142,7
广东,storage_mw,0,0.891733036076193,8
广东,storage_mw,1,0.9289863560915883,8
广东,storage_mw,2,0.9297766624533951,7
