模型,变量,弹性(系数),10%变动对应排放变化(%),5%变动对应排放变化(%)
九市-时间序列（2014-2019）,ln_pv_gw,12.426010773307873,124.26010773307873,62.13005386653936
九市-时间序列（2014-2019）,ln_wind_gw,-4.202976809094952,-42.029768090949524,-21.014884045474762
九市-时间序列（2014-2019）,ln_nev_10k_units,-1.1094919069353288,-11.094919069353288,-5.547459534676644
九市-时间序列（2014-2019）,ln_storage_mw,-5.279335426953762,-52.793354269537616,-26.396677134768808
广东-时间序列（2014-2021）,ln_pv_gw,1.1386447817815437,11.386447817815437,5.693223908907719
广东-时间序列（2014-2021）,ln_wind_gw,0.3147247087748326,3.147247087748326,1.573623543874163
广东-时间序列（2014-2021）,ln_nev_10k_units,-0.06892924639427811,-0.6892924639427811,-0.34464623197139055
广东-时间序列（2014-2021）,ln_storage_mw,-0.24185405259860282,-2.418540525986028,-1.209270262993014
九市-城市固定效应（2014-2019）,ln_pv_gw,-0.34227465589429507,-3.4227465589429507,-1.7113732794714753
九市-城市固定效应（2014-2019）,ln_wind_gw,-0.7460616356883277,-7.4606163568832775,-3.7303081784416388
九市-城市固定效应（2014-2019）,ln_nev_10k_units,-0.1014339966338369,-1.014339966338369,-0.5071699831691845
九市-城市固定效应（2014-2019）,ln_storage_mw,0.5609156707888552,5.609156707888552,2.804578353944276
